content,label,start
áo bao đẹp ạ,positive,5
2day ao khong giong trong,negative,1
mùi thơm bôi lên da mềm da,positive,5
vải đẹp dày dặn,positive,5
hàng rất đẹp rất chi là ưng ý,positive,5
chất lượng sản phẩm tốt date dài,positive,5
ăn nói và thái độ phục vụ tốt,positive,4
đóng gói sản phẩm chắc chắn,positive,5
tất sờn hết ca chưa dùng mà vay r,negative,2
phục vụ rất tốt,positive,5
mặc thì cũng đc,neutral,3
chất vải khỏi chê,positive,5
thời gian giao hàng rất nhanh,positive,5
chất lượng sản phẩm tuyệt vời,positive,4
vải hơi thô cứng thời gian giao hàng nhanh,positive,5
chất lượng sp chưa thật sự đẹp nhe,positive,4
rất đáng tiền thời gian giao hàng rất nhanh,positive,5
quần rất đẹp mặc vừa vặn,positive,5
cảm giác mua hàng bị hớ thật tệ,negative,2
khi mua về nên đi sửa lại,negative,2
với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm,neutral,3
rất đáng tiền thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời,positive,5
giá cả chấp nhận được,positive,4
nchung là rất ổn,positive,5
áo quá đẹp luôn nếu không muốn nói là đẹp may quá có áo mới đi làm cty mới còn mẫu nào trắng nữa để mình mua,positive,5
chưa mặc nhưng thấy chất dày dặn nhìn chung là hài lòng,positive,5
chất vải đã mà hình thì siu ciu luôn í rất nhiệt tình chịu,positive,5
giao hàng nhanh,positive,5
thấy khá okz thanks,positive,4
chất lượng sản phẩm tuyệt vời sẽ ủng hộ nhiều,positive,5
chất lượng sản phẩm tạm được vải hơi khô và mỏng,positive,4
hàng hoá lừa đảo,negative,1
thời gian giao hàng nhanh,positive,4
ảnh in đẹp,positive,5
giá lại rẻ,positive,5
quần áo super đẹp,positive,4
giao hàng thiếu nt cho đã xem mà k có phản hồi gì,negative,1
tuyệt vời hơn khi mua trên shopee thì được freeship,positive,5
tiếc là ko đặt thêm mấy chiếc,positive,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn phục vụ rất tốt thời gian giao hàng rất nhanh,positive,5
đồng hồ mua về k sử dụg đc,negative,1
chất mềm mịn mát,positive,5
giao thiếu 1b 80k mà im re,negative,1
sản phr rất ưng ý,positive,5
mua lần 2 rồi 3,positive,5
ngực em cuzng bitnhf thường thôi mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực,negative,1
quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1,positive,5
99k cũng đáng mua,positive,5
quần đẹp vừa form,positive,5
chất vải xấu xù,negative,2
sp tạm được hơi rộng so vs mình,neutral,3
đẹp chất mềm mại mặc rất thích chủ nhiệt tình chất lượng sản phẩm tuyệt vời phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh,positive,5
giày nhem nhuốc ố bẩn box nát,negative,1
rất đáng tiền tuy nhiên vải ko được co giãn lắm nếu là bạn gái từ 55k trở lên thì khó mặc,neutral,3
đủ số lượng,positive,4
áo y hình chất lượng sản phẩm tuyệt vời,positive,5
rất ưng ý và chất lượng,positive,5
mật để trong tủ lạnh bị đóng sệt lại khoảng không trong chai ko di chuyển như mật mình mua ở địa phương,negative,2
áo sờ chất rất thích,positive,4
váy quá đẹp mặc lên rất tôn da,positive,5
mình xài hộp màu xanh sao lại thấy không thơm nhỉ,positive,4
giao hàng nhanh giống hình,positive,5
tặng thêm bánh và 1 đôi tất lười nữa đáng yêu,positive,5
hàng chất lượng tốt mang đi êm 3,positive,5
chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt,positive,4
người giao hàng rất có tâm đấy ạ,positive,5
hàng tốt i như trong hình,positive,5
giao hàng khá chậm,negative,2
áo đẹp hơi mỏng,neutral,3
