content,label
"cảm giác là, mặc kích vai hơi 50kg hư hỏng 👎 #823",negative
cảm ơn quà của,positive
"công nhận, nhưng mặc nói chung vẫn cổ rộng vải hơi mỏng không có gì đặc biệt 🤔 #1ce",neutral
"phải nói là, bán áo kiểu gì mà giống y chang ảnh mẫu vậy ạ tạm ổn 😐 #672",neutral
phục vụ rất tốt đã nhận được thẻ và nạp ạ,positive
"công nhận, em cám ơn ạ ổn mà chưa nổi bật 🤔 #70d",neutral
tiền 99k mà mua đc đôi v là ổn r,neutral
"cảm giác là, vì dép bé rất tệ 👎 #7be",negative
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời,positive
"mình thấy, áo tạm màu được ra phẩm sản rất tệ 💢 #bd9",negative
nhưng size xxl đắt hơn nhưng lại mỏng hơn size l,negative
"đúng là, đến lúc hỏi giải quyết thì vẫn không nhận được lại một lời gì cả chưa rõ 😶 #90e",neutral
chất đẹp giá hợp lí,positive
"phải nói là, chất liệu so với giá tiền tạm ổn không đáng tiền 👎 #9ef",negative
"cảm giác là, mỏng nhưng vải áo giống hơi may ảnh không có gì đặc biệt 😶 #50a",neutral
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chủ siêu nhiệt tình,positive
khô ngon và giòn,positive
"mình thấy, hàng đẹp nhưng bao ngoài bị rách 1 tí ơi cũng được 🤔 #d53",neutral
"thật ra, sử dụng dc mấy hôm tượt nhẹ từ trên ghế 5cm xuống nền nhà nứt cường lực không đáng tiền 💢 #87f",negative
"thật ra, 1 năm nhiu gần chứ tạm ổn 🤔 #a42",neutral
sản phẩm chị tư vấn nhiệt tình còn hiệu quả chờ thời gian mới bik đc,positive
tư vấn sản phẩm kém,negative
nhiệt tình dễ thương,positive
"cảm giác là, thời gian giao hàng nhanh đóng gói sản phẩm tạm được chưa rõ 😶 #ff7",neutral
"công nhận, thời nhanh hàng gian rất giao rất hài lòng 👍 #119",positive
"công nhận, ưng ý k được nhìn rất tệ 💢 #fdf",negative
"phải nói là, khóa hơi khó kéo không có gì đặc biệt 🤔 #ae1",neutral
vô cùng tuyệt vời,positive
cái áo đen gì mà có 3 cái nút à mặc mà mát luôn người,neutral
"thật ra, ao k vua dug size y k bình thường thôi 😐 #3f6",neutral
áo đẹp lắm nhé,positive
chất lượng tỉ lệ thuận với giá tiền,neutral
"thật ra, sinh vải mình size thui để đẹp cả rộng vẫn lại nhưng m bóp lấy đi sau mà mặc tạm ổn 😶 #8ed",neutral
"mình thấy, hơi đẹp bé form nhưg chất tạm ổn 😶 #a2c",neutral
chất lượng sản phẩm tuyệt vời hợp với giá tiền sờ siêu thích màu random nhưng đẹp lắm ạ,positive
áo không giống hình tuy nhiên phù hợp với giá tiền,negative
đầm xinh lăm luôn giá hợp lí,positive
chất lượng sản phẩm tuyệt vời ngoài sức mog đợi luôn ý,positive
váy đẹp mặc rất chim ưng,positive
"đúng là, thấy hoang phí quá không đáng tiền 💢 #23e",negative
nhưng nói chung cũng đi vào mấy buổi thể dục quốc phòng dẫm đạp cho đỡ tiếc thời gian giao hàng max nhanh,positive
đã từng mua ở khác 75k nhưng chất vải và form ko bằng này dù chỉ hơn 10k vải mát chất lượng tốt ko mỏng lộ màu quần trong ko xổ bông,positive
áo cực kì đẹp luôn mọi người ạ,positive
"đúng là, e khách bán chắc nghị chắn phẩm tra cho kiểm sản khi trước đề thất vọng thật sự 👎 #d5f",negative
"cảm giác là, thun size mặc nóng chất nhỏ ghét lắm 😞 #a47",negative
sản phẩm rất đẹp rất đáng tiền,positive
"thật ra, siu nhiều mình sẽ ủng đồ hộ đẹp không có gì đặc biệt 🤔 #1ea",neutral
e sẽ ủng hộ dài dài,positive
sẽ ủng hộ dài dài luôn,positive
giao hàng rất nhanh aó đẹp nói chung rất hài lòng,positive
sz m mà mình dưới 50kg vẫn hơi kích nách,negative
áo quá đẹp,positive
"cảm giác là, size m ở cảm giác k chuẩn size rộng hơn so với hàng chợ ổn mà chưa nổi bật 😐 #97c",neutral
size 27 quá chật e hay mặc size 26 thui nhưng ai ngờ chật hơn cả size nhỏ,positive
