content,true_label,pred_label
k nhu mong đợi k nghĩ form lớn như vậy,negative,neutral
chất lượng sản phẩm chưa thể đánh giá vì chưa dùng đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh,neutral,positive
mỗi tội mất moc khoá ngay mặt,neutral,negative
chất lượng sản phẩm tuyệt vời giáo hàng khá nhanh có điều hộp bị móp nhiều,neutral,positive
điểm trừ duy nhất là áo adidas mà tem áo lả mango nhưng không ảnh hưởng gì hết,positive,neutral
quan gen ma to qua chang gen bung dc,neutral,negative
chỉ dư hơi nhiều,positive,neutral
ngũ y hình,positive,neutral
giao hàng chậm quá,neutral,negative
nhìn ko dc đẹp vai hơi rộng nhưng ngực eo vừa ôm,negative,neutral
sẽ ghé mua áo vào lần tới,neutral,positive
mk k thích co dãn nhg lên dáng cx,neutral,negative
nhắn cho 2 màu khác nhau cuối cùng thành ra 2c giống nhau chất lượng sản phẩm tạm được,positive,neutral
bán hàng thíu trách nhiệm,negative,positive
áo hợp vơi môt tả,neutral,positive
thời gian giao hàng thì rất nhanh đồ thì đẹp nhưng chỉ trừ lưng quần thì hơi rộng giao đúng size đúng màu,neutral,positive
áo y hình nhưng mình mặc k hợp lắm,positive,negative
sản phẩm cũng đẹp nhưng bị lỗi chút,neutral,negative
giao 2 cái đen trắng,neutral,negative
sản phẩm có nhiều vết xước nói chung là cũng ổn,neutral,positive
hơi nhỏ nha ad,negative,neutral
hộp khi nhận nhìn lô lắm mn ạ,negative,neutral
vải đẹp giao hàng nhanh nhưng ao,neutral,positive
dáng đẹp nhưng m gầy mặc bị rộng vải này với mình là nóng còn các bạn khác mình k biết vẫn cho 5sao vì nc dễ thương chúc buôn may bán đắt nhé,neutral,positive
chất đẹp giá rẻ nhưng ship 40k đắt quá,neutral,positive
chất lượng sp thời gian giao hàng chậm,neutral,positive
vải áo màu trắng nhìn hơi mỏng,positive,negative
chất dày y hình in đẹp nhưng form không chuẩn mua 3 chiếc form rộng tay lỡ mà 1 chiếc dài như áo của con trai vậy form áo nhìn ko đẹp giao sai màu chiếc áo mèo cá,neutral,negative
mình mặc mẫu ý cũng đc,positive,neutral
mua hàng nhiều lần vẫn rất ưng sp và cách nói chuyện của chị chủ 3,neutral,positive
nhưng với giá 144k hi vọng cải thiện vải sẽ mỏng nhẹ thoáng mát hơn chớ mùa này mặc hơi nóng ạ,neutral,positive
nhận được rồi chất lượng cũng tạm được,negative,neutral
chất lượng ổn nhưng sai m thì bố quá,neutral,positive
áo thì gkê cực kỳ,negative,positive
chất lượng sản phẩm tạm được thời gian giao hàng chậm,positive,neutral
giao hàng rất chậm,negative,positive
mình cao m50 và nặng 44kg,positive,neutral
mình báo lấy size s lại chuyển hết size m,neutral,negative
